HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
16.5405,2.9325695,12.387586,1.6725031,4.3132534,0.78827673,3.2887516
17.506733,3.099151,13.308859,1.8185344,4.2798257,0.7806723,3.1868608
16.778645,3.282295,12.590682,1.9550242,4.2119694,0.7844861,3.0069146
16.592455,3.4624176,12.412728,2.0832524,4.0732045,0.7854839,2.8005037
15.8257,3.6415954,11.665665,2.1891615,3.910195,0.77919996,2.5490143
14.986176,3.7987163,10.855745,2.2704713,3.7671442,0.77397424,2.3746138
15.045814,3.910743,10.899013,2.3374214,3.549531,0.7489213,2.1759148
14.869559,4.0465913,10.720451,2.4219804,3.421475,0.7370014,2.0846202
14.091548,4.0579376,9.932047,2.40104,3.3134513,0.7097589,2.0800178
12.660633,4.0899253,8.4883175,2.4108245,3.2841408,0.6822377,2.1473906
10.550131,4.101478,6.383634,2.3975582,3.3252118,0.661368,2.308148
8.203306,4.0660253,4.0703487,2.3454938,3.3650894,0.6458725,2.421122
3.8544009,3.9812932,-0.20378515,2.2378376,3.5536907,0.6552993,2.6113715
-0.78378433,3.9002728,-4.736053,2.1433249,3.6904857,0.6608882,2.7690687
-3.9784381,3.8186035,-7.843107,2.0448952,3.83046,0.6767964,2.8947384
-7.610251,3.6776943,-11.372348,1.905194,3.9514794,0.7004272,2.9583359
-9.358706,3.5312839,-13.037498,1.760164,4.036918,0.7167308,3.0371816
-8.823008,3.3366122,-12.465189,1.6092803,4.1164336,0.73987544,3.1126702
-5.6352053,3.1342509,-9.31737,1.4796413,4.163562,0.74998236,3.1590307
-1.6216091,2.9751573,-5.3734264,1.4061207,4.1809587,0.7571613,3.1981554
3.4253294,2.8590279,-0.42014602,1.3757033,4.2156644,0.7640417,3.2868938
8.72757,2.7568138,4.7702417,1.3742554,4.195759,0.75688934,3.3108191
11.6647215,2.7735689,7.625896,1.4449317,4.240811,0.7687448,3.3155875
15.782796,2.8476617,11.636982,1.5644958,4.2746367,0.76813483,3.337252
16.461628,2.9838254,12.296096,1.7061117,4.2845798,0.77543426,3.2703106
17.66419,3.1165466,13.463653,1.8319817,4.2832546,0.78027743,3.1811087
16.872847,3.3009953,12.683233,1.9699017,4.202228,0.7845851,3.008959
16.796768,3.4764507,12.6168585,2.090042,4.0902805,0.7796166,2.8314116
15.657842,3.6468203,11.505184,2.1912332,3.9538374,0.7838184,2.6052358
