HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
10.995099,1.6718376,7.606352,0.60554445,3.3332736,0.5333118,5.130738
11.429679,1.6564634,8.026431,0.5999343,3.2044618,0.5233502,4.939257
11.585847,1.5997677,8.205137,0.5721025,2.979293,0.50624925,4.5873504
11.607371,1.5417434,8.254245,0.5423692,2.7775614,0.48980162,4.2593946
11.42181,1.4771066,8.111515,0.50673926,2.6164412,0.47522926,3.9724243
11.123681,1.4027216,7.8760886,0.46373138,2.4876373,0.46348372,3.7243822
10.922375,1.3467997,7.709163,0.42940328,2.4190571,0.45482147,3.5573802
10.745622,1.3226209,7.5534024,0.4107161,2.4687629,0.45650116,3.5868485
10.512539,1.3098499,7.322642,0.39682654,2.5490997,0.460435,3.6713703
10.203666,1.3275657,6.9904685,0.39995697,2.7000892,0.47160795,3.8910446
9.672048,1.3554316,6.420401,0.40867338,2.8595421,0.48395836,4.1402173
8.9406185,1.3871446,5.6442356,0.42020917,3.0198634,0.4979278,4.4084907
7.9041977,1.4214164,4.553694,0.43402547,3.174022,0.51165885,4.674939
6.9558067,1.4501332,3.5683336,0.44806513,3.2746317,0.52214754,4.8686557
6.080078,1.4800452,2.6620426,0.46439052,3.3539824,0.5302353,5.028647
5.22224,1.4853317,1.8043321,0.46861795,3.373528,0.53387177,5.0841303
4.8560433,1.4938266,1.4551047,0.47633195,3.3789895,0.5355541,5.1111364
4.974444,1.5028237,1.6080776,0.48568824,3.3741755,0.53542614,5.111354
5.3764896,1.5239336,2.036857,0.50127035,3.3910344,0.5357136,5.1402698
6.2220592,1.5495341,2.9066877,0.519255,3.4218378,0.5375259,5.1874084
7.1258063,1.570333,3.8328228,0.533926,3.4414778,0.53921086,5.2210984
8.25909,1.6087931,4.9547553,0.5584189,3.4806542,0.54190016,5.289978
9.2768135,1.6394846,5.947401,0.578709,3.4789848,0.5421091,5.3034353
10.238293,1.6637087,6.872716,0.5957407,3.4345322,0.5388771,5.2540374
10.920751,1.6618071,7.5315766,0.59866625,3.3215668,0.5315073,5.1015053
11.334277,1.6373916,7.9472513,0.58891845,3.1690717,0.5210098,4.879996
