HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
11.844988,3.4164972,7.946998,1.7924051,4.0229864,0.8084769,2.9954717
12.64218,3.470079,8.749916,1.8611096,3.826698,0.76858014,2.907184
13.59601,3.526769,9.700463,1.9275155,3.6871781,0.73950976,2.8570125
13.580126,3.5676982,9.669227,1.9766946,3.6228268,0.7265551,2.8475351
14.264196,3.6267636,10.340846,2.0412252,3.5131378,0.7045274,2.8383095
13.771773,3.6410174,9.828566,2.0602636,3.5633307,0.7118647,2.843625
13.109534,3.6218977,9.175682,2.0538442,3.5836933,0.71179175,2.775703
12.857702,3.6459482,8.903549,2.0862472,3.6112695,0.7137367,2.7513778
11.901229,3.5830786,7.961527,2.0346882,3.7042637,0.7273077,2.6528308
10.374857,3.5203688,6.4290404,1.9945186,3.7857869,0.7389941,2.5523236
9.208046,3.4660745,5.254121,1.9487255,3.9397666,0.7670109,2.5248384
7.9923077,3.4292338,4.0157013,1.9311349,4.0995717,0.797352,2.4796407
5.8210015,3.3455517,1.8039808,1.8592094,4.150341,0.8076326,2.4328964
4.6856284,3.3422315,0.60887986,1.8619757,4.273242,0.8369501,2.5148401
3.5957496,3.3098915,-0.51746625,1.8263309,4.375572,0.86073726,2.6071978
1.9494907,3.233636,-2.183419,1.7506387,4.414818,0.8722215,2.6300707
1.3907237,3.2124617,-2.7441547,1.7271599,4.453306,0.881746,2.6786032
2.028128,3.2266934,-2.1037104,1.7112885,4.405726,0.8763568,2.804622
2.699182,3.2076871,-1.3968948,1.6636225,4.4394917,0.88481945,2.8992567
4.3538694,3.2214694,0.29725093,1.6469477,4.4393606,0.88597393,2.9816484
5.581221,3.2245202,1.5709431,1.6298159,4.3894196,0.87605375,2.9973114
7.3201675,3.252707,3.3601203,1.6417106,4.3437843,0.86962146,3.030039
8.977885,3.286506,5.062437,1.6647549,4.2370906,0.8490287,3.00996
10.557585,3.3416572,6.6610355,1.7167397,4.1435833,0.83141744,2.9976106
11.725654,3.40981,7.8301997,1.7909226,3.9792225,0.7989792,2.9535325
12.801634,3.4614515,8.916174,1.8480101,3.8644907,0.7759779,2.920028
13.154673,3.4993577,9.255269,1.8960776,3.7074466,0.74366117,2.8568616
13.352386,3.55673,9.434789,1.9690622,3.5590482,0.7133141,2.8009276
13.72759,3.6074677,9.803108,2.0268886,3.5768554,0.71525776,2.8156576
13.930281,3.629732,9.998567,2.0478127,3.5126052,0.7012767,2.819535
13.656413,3.659055,9.70873,2.089534,3.5571523,0.7064835,2.7845683
13.139204,3.6344233,9.207368,2.0718863,3.614715,0.7142122,2.739852
11.854159,3.5782154,7.9151883,2.0305352,3.7075624,0.7276593,2.6608503
10.737165,3.551375,6.7876244,2.0213883,3.8227348,0.7467928,2.5891235
9.3220825,3.484465,5.361029,1.9706905,3.9234471,0.7634962,2.5066438
7.822231,3.4153113,3.8470469,1.9173125,4.0527735,0.7878643,2.4559395
6.421047,3.373992,2.4020114,1.8831229,4.1491175,0.8080199,2.4608781
5.1679645,3.3454676,1.1106492,1.8612063,4.298647,0.8409868,2.5233502
3.6978843,3.3045301,-0.40916166,1.8183895,4.3734136,0.86057276,2.5921752
2.3048995,3.2575595,-1.8302584,1.7764314,4.395909,0.8684449,2.615166
2.0099535,3.2506258,-2.1396737,1.7542717,4.4852877,0.8891832,2.75593
1.6370175,3.1956127,-2.4925206,1.6824389,4.4349494,0.88105047,2.7743394
2.8824122,3.2122002,-1.207886,1.6732339,4.459286,0.8874864,2.8810494
3.5629442,3.1707265,-0.47938523,1.6039033,4.424072,0.8820417,2.9229558
5.4503684,3.2092762,1.4502978,1.6151001,4.3895044,0.87686884,2.993064
7.074066,3.2519677,3.1107383,1.6456504,4.395625,0.8790635,3.0262206
8.856702,3.2828631,4.932939,1.6588675,4.2905526,0.86012673,3.041232
10.241382,3.3413231,6.3386846,1.7220242,4.1476703,0.8315958,2.9860756
10.938022,3.3692625,7.0440993,1.757888,4.0390186,0.810599,2.933316
12.196108,3.4358509,8.3074255,1.8292967,3.815352,0.7651678,2.8612688
12.789528,3.48741,8.891199,1.8901371,3.7056632,0.742666,2.8332887
13.60831,3.5539505,9.70835,1.9636142,3.6033237,0.72177565,2.8243878
13.823228,3.5972366,9.903591,2.0159178,3.5343397,0.7077837,2.803531
13.951398,3.6492717,10.012847,2.069632,3.5232167,0.703361,2.8296175
13.1824465,3.620381,9.247785,2.0538025,3.5535042,0.70486873,2.7517295
12.352666,3.5892723,8.4217415,2.0329611,3.668379,0.72399133,2.7156894
11.826381,3.584184,7.8839293,2.0378761,3.7576697,0.7378602,2.6812482
10.417332,3.5302467,6.4715514,1.9993999,3.8463342,0.7516401,2.589451
9.3149185,3.471887,5.3601675,1.9562403,3.9575121,0.7704918,2.513446
8.197034,3.4257965,4.223392,1.9178791,4.100887,0.7972258,2.4956455
6.7893744,3.3830316,2.7758288,1.891036,4.1728134,0.81314343,2.47399
4.4209833,3.3005726,0.35928714,1.8166864,4.3327227,0.8473548,2.5040717
2.4835877,3.2447264,-1.6214501,1.7705554,4.4130936,0.8657184,2.534329
2.1024814,3.2591982,-2.0455394,1.7750609,4.446943,0.87819153,2.6586657
1.790626,3.2301261,-2.3508596,1.7311631,4.4655704,0.88587785,2.7395885
2.3024983,3.2351365,-1.8295649,1.7154664,4.475837,0.88935643,2.835851
2.3448615,3.1722581,-1.7422827,1.6368204,4.4542885,0.8862369,2.8436027
4.0752797,3.193607,0.02655387,1.6212773,4.41102,0.87876314,2.9289415
5.2610908,3.1919575,1.2635285,1.598465,4.392315,0.8771666,2.9683611
7.567275,3.2715943,3.6056907,1.6605971,4.368082,0.8739502,3.0459192
9.011487,3.2890239,5.0966783,1.6678302,4.22315,0.8465463,3.008917
9.951532,3.3142965,6.0522594,1.6941968,4.140877,0.8302876,2.971245
11.54393,3.37248,7.666755,1.7509196,3.9832718,0.79845697,2.923623
12.324632,3.4420037,8.438716,1.8343865,3.8587954,0.7738662,2.8896737
13.360593,3.5172117,9.46647,1.9105221,3.69963,0.7423947,2.8827004
13.842953,3.5635202,9.939067,1.9683266,3.6235433,0.72634774,2.8524618
13.985764,3.6079028,10.066614,2.0216997,3.5656388,0.7139621,2.838643
13.23699,3.6037662,9.308129,2.029068,3.5400472,0.7064644,2.785972
13.519802,3.649449,9.573722,2.0743515,3.5761485,0.71020776,2.8041668
12.526828,3.59527,8.590126,2.028153,3.6920347,0.72891074,2.7662797
12.171368,3.58508,8.235775,2.0305545,3.743841,0.7350754,2.6930637
10.539227,3.5338018,6.585818,2.0016913,3.860274,0.75413305,2.5961764
9.101101,3.4624503,5.1479692,1.9456292,3.9288013,0.7644626,2.511439
8.326569,3.4310622,4.348008,1.918919,4.060545,0.79028535,2.5075953
6.1001196,3.3430176,2.0917647,1.8499787,4.210399,0.8205716,2.4699485
4.405927,3.3035073,0.34323108,1.8238955,4.331462,0.847225,2.5026581
2.8638017,3.2622695,-1.246138,1.7793796,4.3981223,0.86432993,2.5730402
2.0703287,3.2498662,-2.0641932,1.7650864,4.4433875,0.8776653,2.648325
1.6280812,3.2105048,-2.513756,1.7076353,4.4914765,0.8901497,2.7391481
1.8902555,3.2057123,-2.2301817,1.6893903,4.447575,0.8846139,2.8058162
2.5489972,3.1890194,-1.5475509,1.6443964,4.4666185,0.8883126,2.884435
4.346457,3.2152386,0.30487132,1.6450653,4.465206,0.89031506,2.970227
5.2897925,3.21058,1.284546,1.6214923,4.398413,0.87811154,2.9740663
7.4333563,3.261382,3.4770222,1.6467007,4.3266635,0.8660623,3.0307174
8.67741,3.2715998,4.761188,1.6554542,4.234826,0.848638,2.9777339
10.41362,3.3483028,6.510745,1.7240081,4.1320534,0.828545,3.0072632
11.252666,3.3670015,7.3624396,1.7488117,3.9493268,0.79186463,2.9140368
12.721099,3.4405184,8.841204,1.826054,3.8350072,0.76819646,2.8898222
13.244895,3.5056984,9.3495,1.9042379,3.7145233,0.74479955,2.8628347
13.630066,3.5406735,9.734163,1.9481524,3.6139534,0.724424,2.8268783
14.300692,3.6102922,10.397766,2.0178719,3.5736856,0.7162516,2.8646529
14.001757,3.6249413,10.080784,2.0438957,3.5155678,0.7015442,2.8007522
13.37919,3.6222327,9.447514,2.0512977,3.580799,0.71020764,2.7723467
12.499069,3.5995278,8.557768,2.0371904,3.6515846,0.72086984,2.7335138
11.714236,3.5624814,7.774842,2.0094218,3.7938683,0.7454866,2.7047017
10.695867,3.5282543,6.749473,1.9922819,3.8203037,0.7457913,2.5927134
8.823187,3.4231827,4.885696,1.9093986,3.987983,0.77633435,2.4918487
7.709563,3.400336,3.733181,1.8937677,4.0942774,0.79627025,2.4846778
6.3842983,3.352683,2.376763,1.8587732,4.134513,0.8051806,2.4481206
4.058918,3.278257,-0.001259604,1.7968986,4.315352,0.84349734,2.477615
3.3251677,3.2858295,-0.7848672,1.8041631,4.3979363,0.8650163,2.5887167
2.1776628,3.2452466,-1.9564908,1.7604554,4.442632,0.87697864,2.6417654
1.5489126,3.2000923,-2.5774882,1.7034509,4.4520297,0.88194686,2.706466
1.9019823,3.1975582,-2.2170796,1.6824429,4.491594,0.8921909,2.795348
2.4783318,3.181062,-1.6132815,1.6419432,4.460237,0.8868767,2.8567467
3.6852007,3.1786237,-0.35289988,1.6111324,4.448158,0.88636804,2.9376843
5.530999,3.2233005,1.5282917,1.6324599,4.394099,0.8770542,2.9904807
6.589303,3.2146518,2.627061,1.6069423,4.354021,0.870381,2.9948947
9.01197,3.286988,5.0992856,1.6667018,4.1965747,0.8403754,2.989703
10.129875,3.3301404,6.228888,1.7068666,4.150992,0.83286965,2.999696
11.339702,3.3788817,7.449214,1.7588907,3.9934762,0.80108476,2.9392376
11.849664,3.4001374,7.967086,1.788884,3.8503647,0.7718087,2.870785
12.826805,3.4888856,8.9290085,1.888624,3.7596862,0.7534722,2.86778
13.4745245,3.544421,9.565486,1.9518378,3.6304686,0.726962,2.8313916
13.707463,3.586171,9.787499,1.9931536,3.6074493,0.7223288,2.8622952
13.281564,3.5924454,9.353381,2.0142453,3.5420978,0.7065442,2.7882748
