HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
11.043322,1.4921067,8.426707,0.23283403,2.6519156,0.9654105,6.2772665
12.517922,2.877148,10.336062,1.2863184,2.8903732,1.0757443,4.271292
11.740346,2.481857,10.33193,1.2002342,1.7154195,0.7165307,5.0087075
10.555103,1.6484457,8.82229,0.3290967,1.6107578,0.6128955,6.580629
11.399803,2.3277967,9.521403,0.89018506,1.7044618,0.6648593,7.055186
11.119147,1.7935954,9.058221,0.39790943,1.6886822,0.6521102,6.890876
10.760657,1.5282779,8.723337,0.22824925,1.7036449,0.64908457,6.753449
10.614524,1.5302682,8.64661,0.37934577,1.6843115,0.62019265,6.8512764
11.224935,1.5175006,8.859696,0.3866662,1.9975547,0.5796461,7.220876
11.204689,0.6013053,7.998212,-0.6814402,2.8132007,0.6290297,8.396491
8.000075,0.79591304,5.3677316,-0.37146592,2.727911,0.8930944,8.675223
2.9337091,-0.11054747,0.16462798,-1.2314081,2.46596,0.83874524,8.205126
-1.3325536,1.4998097,-4.7534037,0.23490891,2.7037208,0.72290915,7.338114
-5.081973,1.3754084,-8.805266,-0.20230715,2.8961594,0.76750416,5.790055
-9.226776,1.4548918,-12.522829,-0.009589461,2.234051,0.7081953,6.0913625
-8.229515,2.5678089,-12.09396,0.8262002,2.533014,0.9581141,8.087949
-2.2903693,1.6281357,-6.533581,-0.367358,2.8209348,1.1354622,9.82077
2.260179,1.3576039,-1.5450959,-0.3714796,2.7309554,1.0438641,9.866169
4.7935276,0.20972155,1.6456504,-1.4136109,2.7370033,0.93346584,9.45365
7.641848,-0.48199487,4.4333577,-1.9717681,3.2692807,0.8488276,9.443131
8.067773,-1.0512428,5.075532,-2.2968588,3.1056457,0.6426999,9.934215
8.688466,-1.2313353,5.5059323,-2.4180408,3.187322,0.6628722,10.471796
9.704637,-0.9470591,6.283571,-2.165195,3.3761837,0.7627996,10.919925
11.320962,-0.019505015,8.084751,-1.3015524,3.157273,0.8083944,11.337086
10.827057,-0.283556,8.085234,-1.5863508,2.5150042,0.7608197,11.46839
11.672969,0.44710934,9.07091,-0.94772,2.3889625,0.8082668,11.51518
12.310699,1.2470726,10.120406,-0.11283292,2.0730135,0.7746768,11.062311
10.866934,0.6323177,8.782968,-0.60442007,1.9245818,0.75998443,10.214574
10.445884,0.92155486,8.472112,-0.2295941,1.8488444,0.7715345,10.230644
10.669855,1.2515069,8.708201,0.10638901,1.8107266,0.79260087,10.91081
10.245408,0.71573913,8.113214,-0.41050112,1.9161062,0.80464566,11.114976
10.590144,0.3935862,8.15241,-0.8122382,2.2172546,0.7910365,11.238557
12.442648,0.50420976,9.168223,-1.0623982,2.9368386,0.80624557,11.830804
11.621579,1.3621011,8.020842,-0.5548314,3.2062287,0.90430516,12.5216055
4.539472,1.7673714,1.2108414,-0.19343579,2.9247253,1.0248988,12.821868
-4.22761,1.5498612,-7.450282,0.14959812,2.762436,0.9919592,12.53279
-7.1033845,2.0953882,-10.687007,0.85559946,3.0778935,0.8896871,12.3032465
-3.76998,0.84471124,-7.456155,-0.19503662,3.2419305,0.86397374,12.235236
-10.470503,1.4626268,-13.513697,0.5722268,2.6483753,0.88538474,13.139188
-6.0107007,1.4122452,-9.086196,0.6380419,2.5158396,0.953789,14.307428
-6.287653,1.5294541,-9.070585,0.8249398,2.0221696,0.8020262,15.280878
-3.9217381,0.62592024,-6.320649,-0.16503453,1.9569042,0.79887444,15.400513
-0.09804264,-0.48624435,-2.45214,-1.4163482,2.394062,0.86448497,15.470147
6.551595,-0.8788022,3.7047982,-1.8159585,2.9269235,0.79742354,13.996392
7.494415,-1.3761988,4.727218,-2.3988545,2.8359509,0.750669,11.982834
8.903387,-0.8727982,5.6234546,-2.0701468,3.1737552,0.78832185,10.900284
8.229591,-1.4527357,5.0093985,-2.7695615,3.1319783,0.7849826,10.542259
6.8198686,-1.9951886,4.2890687,-3.3341906,2.4910429,0.739576,10.127565
8.477233,-0.67130554,6.4258056,-1.9879973,1.9475613,0.6517073,9.514519
10.060063,-0.31164443,7.7088842,-1.7362989,2.2762399,0.9186325,8.5090685
11.382343,0.58243114,8.356149,-0.92896074,3.0416942,1.1715443,8.783365
10.048648,0.04951591,7.643484,-1.1239332,2.3704495,0.94188905,9.2478
10.187488,0.4947075,8.405174,-0.5793239,1.783485,0.693402,9.0605345
9.355533,0.19711983,7.649233,-0.9988496,1.6695511,0.63473696,9.57251
8.6441765,0.14965557,6.94364,-1.2088214,1.6491679,0.65158015,9.249099
7.9187613,-0.45099095,6.1147623,-1.8615109,1.7404399,0.6908891,8.291322
11.07575,0.67669225,8.867741,-0.7032667,2.155729,0.65770984,8.482559
12.5742,0.8562033,9.449861,-0.74451965,2.8680148,0.81603235,8.196031
7.8690915,0.5583427,5.0179515,-1.0655822,2.813387,0.9694201,8.585843
2.5478935,0.91586244,0.19233839,-0.44118655,2.6714847,1.0955414,9.46621
-1.470029,1.0989426,-4.0603647,0.0027801483,2.8274415,1.0685068,11.238264
-2.7530427,0.79494166,-5.4663997,-0.07217917,2.8523297,0.9035211,12.688039
-5.164316,0.09412179,-7.2506003,-0.50058424,2.1358593,0.6892613,12.905879
-4.038206,1.0692464,-6.573053,0.17977646,2.5948458,0.9996144,13.938856
0.4335825,0.3783592,-1.8782297,-0.7000707,2.3427374,0.9814691,13.479572
2.5593598,0.087530665,0.57572764,-1.072008,2.2725914,0.92438555,12.72954
1.6059376,-0.54557157,-0.1515409,-1.6660583,2.2915888,0.8674571,13.637199
7.2885566,-0.6972366,4.3329334,-1.8178648,3.1695452,0.93992925,12.790549
7.1031446,-1.4083283,4.323322,-2.5017953,2.8610857,0.8548302,11.802657
7.5842967,-1.363839,4.5098124,-2.4612844,2.9019074,0.84974116,11.696123
7.449937,-1.5462372,4.4565372,-2.6676116,2.7567978,0.8092824,11.750847
6.1345835,-2.2982833,3.7451797,-3.5499012,2.1298008,0.75311536,10.819162
6.1627207,-1.7218258,4.2011213,-3.2349792,1.612528,0.7288531,10.216644
8.674663,0.12784764,6.686324,-1.4953233,1.7143933,0.83961195,9.917135
11.179654,1.2372278,7.7000947,-0.8837902,3.363605,1.4498521,8.415635
12.64788,1.83728,8.248097,-0.59767914,3.9049518,1.6331148,7.711441
10.955047,0.25776857,6.9707603,-1.7945275,3.2208817,1.3058513,7.790694
11.064194,0.45176786,8.209349,-1.2283839,2.396959,0.9547842,8.621079
12.084057,0.9573254,8.804805,-0.9700362,2.955434,1.1355464,9.025578
13.543127,1.993963,9.03654,-0.3358702,4.116232,1.4663141,8.808393
12.633458,1.7398263,7.8784823,-0.45577228,4.3690686,1.4913951,8.809676
10.159738,0.12231965,6.6345506,-1.4215829,3.432739,1.1406087,8.317737
7.8598175,0.33185658,4.959661,-0.954896,3.121853,1.1192625,8.453154
3.8241305,0.07823537,1.4244943,-1.0235606,2.8989625,1.1698579,8.909871
3.7655787,0.26900846,1.2571824,-1.0163939,3.1833134,1.3331891,9.772658
1.134039,-0.011588395,-1.4578769,-1.3927503,3.3528404,1.2896663,11.272668
-2.8985245,-0.6274743,-4.614717,-1.8558183,2.254882,1.034622,12.41152
0.62086546,-0.35834292,-1.396356,-1.8292544,2.3854663,1.1162542,11.708472
2.1222885,0.3192314,-0.2657675,-1.4047883,2.4727921,1.1233448,11.089792
5.4774046,-0.2349227,2.7126868,-2.1018603,2.6124291,1.1024534,10.026172
4.1797457,-1.0626055,2.060032,-2.6965344,2.394023,0.9301428,9.98316
7.226982,-1.3713164,4.60498,-2.8675382,2.825832,0.7867908,10.841913
6.993015,-1.630449,4.7161636,-2.7952263,2.5337582,0.6596388,11.305555
7.7735333,-1.3217472,5.2229414,-2.408814,2.7353785,0.7440437,11.081938
7.142614,-2.0691059,5.0814915,-3.0262547,2.1996827,0.6916962,10.153501
7.5610905,-1.2482272,5.7834554,-2.3079984,1.7818795,0.6397896,9.495162
9.710127,0.93497235,7.7996945,-0.39562002,1.76384,0.6519965,9.065588
10.372299,0.8169526,8.222275,-0.75488317,1.8285445,0.6624331,8.862906
12.195775,1.7413667,9.683725,-0.060102116,2.5241537,0.88546425,8.169069
11.42489,0.97135496,9.132284,-0.67554957,2.3536148,0.812653,6.863558
10.086704,0.59601486,8.271834,-0.89285797,1.9354858,0.7322434,6.249696
10.281591,1.0655318,8.600005,-0.4264994,1.6892598,0.68148553,6.469029
13.085442,2.5946627,10.953234,0.95921314,1.9836522,0.8167589,6.6214643
12.354396,1.4239069,9.494105,-0.24852718,2.4922822,0.91811174,6.023808
11.922898,0.44581178,8.595608,-1.0843197,2.9327972,0.89460194,5.46255
14.415369,2.781544,10.734275,0.87305564,3.436856,1.2520119,5.526177
