HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
14.660049,2.8338714,11.242079,1.0663617,3.347102,0.98534924,4.769301
14.388848,2.8842793,10.876749,1.152116,3.5640318,0.95908374,3.771104
13.923513,2.754012,10.688127,1.0080203,3.276464,0.95040566,3.5121527
13.986711,2.6696334,10.484648,0.88696086,3.3574314,1.0213748,3.5737202
14.27258,2.6986737,10.332815,0.83575046,3.695348,1.1194932,3.9442112
14.467633,2.7499182,10.174839,0.7879859,4.0953016,1.200644,4.520783
14.841649,2.832644,10.129526,0.7592398,4.5506625,1.2628143,5.0730133
15.510145,3.1131024,10.359097,0.9062087,5.0423756,1.3256708,5.670326
14.586516,3.157251,9.84665,1.0618514,4.6243296,1.285955,6.0656385
10.324685,2.38393,7.200214,0.69804686,3.0502343,1.1270082,5.981919
6.7688785,1.6304832,3.8062344,0.19593969,2.6814952,1.0485514,6.423602
4.638365,1.3858585,1.2749883,0.117393605,3.1437187,0.95200086,7.572392
3.6817706,1.1209247,0.22940974,-0.1447143,3.3359435,0.90234166,8.102801
1.1231852,0.28977185,-1.7170367,-0.8165244,2.5699236,0.8031204,8.705797
3.3502772,0.5632826,0.5979728,-0.6515069,2.3852208,0.86460376,9.494876
4.6463704,0.27261356,2.1814737,-0.9785877,2.2378254,0.86116403,9.463953
6.2209063,-0.09204862,3.626397,-1.3229041,2.4377487,0.86389524,9.017434
7.7826915,-0.3339704,4.9212213,-1.5775069,2.8772674,0.8579616,8.926707
8.966819,-0.4858938,5.9504676,-1.7398942,3.188567,0.80707866,8.93416
9.568548,-0.5570024,6.396982,-1.8240813,3.3740377,0.78719676,8.911942
9.363469,-0.69302213,6.2401443,-1.959823,3.3260934,0.78109974,8.754259
8.654394,-0.84123456,5.8702526,-2.0750756,2.9618895,0.75354147,8.584221
8.852371,-0.4163872,6.6206264,-1.6197256,2.354935,0.68619996,8.487881
10.204554,0.66320556,8.4788065,-0.5522901,1.8624402,0.6268415,8.621533
12.012373,1.6326813,9.912718,0.24351107,2.1148143,0.71679395,8.797282
12.466076,1.9216068,10.177357,0.45746085,2.256065,0.765928,8.788869
12.219763,1.9488453,10.062976,0.50264907,2.13682,0.7535049,8.757009
11.986675,1.9380845,9.887233,0.49539706,2.045798,0.75063133,8.813019
11.781854,1.820065,9.599357,0.3763276,2.0437245,0.76116097,8.985438
11.6635895,1.5694865,9.29359,0.13159302,2.1527216,0.7781021,9.155674
11.785851,1.2649537,9.139527,-0.1723755,2.41063,0.79667795,9.156401
12.475618,1.1920915,9.444346,-0.29569492,2.8159802,0.8259239,9.140571
13.449591,1.5839336,9.985541,-0.032186594,3.2496312,0.91979355,9.51805
11.476553,1.6723725,8.291342,0.10348433,2.964381,1.0376886,9.87663
8.652713,1.2215173,5.5606174,-0.27572438,2.8529637,1.1313275,9.696729
8.654368,0.912096,5.422419,-0.58185554,3.2495837,1.139654,9.465604
8.026318,0.4579956,5.0436916,-1.0266259,3.1325738,1.0665007,9.040845
6.9327145,0.09651176,4.4773326,-1.3973181,2.6226807,1.0445427,8.572283
8.263583,0.6922933,5.8534164,-0.93014467,2.5957325,1.1535467,8.667033
8.19593,0.70775026,5.8958945,-0.93444616,2.6079879,1.1889467,8.375822
8.43528,0.43838307,5.846478,-1.1326774,2.8498383,1.1359693,7.897824
9.172775,0.10972636,6.2098427,-1.3725705,3.1605659,1.0200216,7.814677
9.8219385,-0.18964542,6.626888,-1.5991366,3.340078,0.9061778,7.9118223
9.921355,-0.45916858,6.665679,-1.8093721,3.360519,0.8354562,7.971686
9.388562,-0.74099916,6.308283,-2.0329723,3.2070346,0.79220873,7.9182467
8.734226,-0.8619399,5.9756455,-2.1054764,2.9012794,0.76441413,7.946584
9.130061,-0.2945114,6.8642077,-1.5163647,2.4305246,0.7203105,8.0172615
10.945566,0.9023855,8.8041115,-0.41000053,2.333474,0.7480648,8.186033
13.110236,1.8714898,10.215808,0.30564925,2.9520066,0.9185654,8.147413
13.536324,2.094146,10.388307,0.4438216,3.1732647,0.9822194,8.0389595
13.288643,2.0816553,10.247618,0.44767398,3.0410635,0.9663393,8.111998
13.082532,2.0123994,10.059923,0.3741477,2.9283125,0.95599973,8.295424
12.918887,1.8316253,9.7984085,0.18150365,2.8995461,0.95384824,8.475629
12.870406,1.5730292,9.5889635,-0.09471755,2.9837782,0.95827204,8.561401
13.162668,1.3875093,9.63611,-0.33366615,3.2547538,0.9820404,8.542181
13.928687,1.4689006,10.059975,-0.35246602,3.657751,1.0329525,8.568819
13.476675,1.5893791,9.695455,-0.22976753,3.5293784,1.0720605,8.6787405
9.95447,1.1997138,6.850717,-0.41927028,2.7443807,1.0995548,8.61364
7.759872,0.8132774,4.300974,-0.6929659,2.9425352,1.1695361,8.621961
7.911179,0.65447265,4.263497,-0.83031374,3.3823686,1.1576109,8.9067335
6.402888,0.0027296792,3.3057816,-1.4483242,2.974562,1.0734911,8.778523
7.158323,-0.0019687088,4.2526345,-1.5740106,2.7129493,1.1115237,8.538926
8.286696,0.40900862,5.567132,-1.26351,2.6503682,1.1798996,8.600181
8.272053,0.35555816,5.685976,-1.2996244,2.6614478,1.1805143,8.095204
8.706166,0.1414407,5.8176546,-1.4429494,2.9426622,1.125582,7.5186577
9.581727,-0.088099614,6.3883243,-1.6035362,3.2754638,1.0198212,7.319626
10.217964,-0.29926696,6.891487,-1.7548722,3.4492183,0.9157494,7.349235
10.2348,-0.51985455,6.917108,-1.9166365,3.4487712,0.85226357,7.449039
9.657086,-0.77626276,6.535293,-2.1136549,3.2888093,0.81757015,7.510415
9.076562,-0.83644706,6.302806,-2.1228063,2.949829,0.7874271,7.6147194
9.547323,-0.1856233,7.33037,-1.4264015,2.400903,0.724825,7.7512126
11.252419,0.9174813,9.05369,-0.404029,2.3298361,0.7524724,8.014306
12.435891,1.521525,9.835584,0.059503365,2.5919824,0.8381484,8.057582
12.421077,1.6153741,9.813886,0.13354114,2.5373235,0.84213966,8.009502
12.248514,1.6341423,9.730703,0.14957117,2.4097385,0.8297277,8.041513
12.120444,1.580102,9.588801,0.07805134,2.356727,0.82907414,8.150754
12.008746,1.4103618,9.39004,-0.10314182,2.377436,0.8326752,8.256577
12.002908,1.1692156,9.243088,-0.35440248,2.50235,0.8409973,8.253351
12.278286,0.97725296,9.28579,-0.5754108,2.7717607,0.8602742,8.154047
12.984441,1.0560535,9.637504,-0.5758462,3.140107,0.9066657,8.190777
12.627993,1.2720469,9.188091,-0.40234125,3.2055287,1.0035212,8.426938
10.082111,1.0327314,6.951087,-0.5338576,2.8166523,1.0946684,8.36931
8.883031,0.7311571,5.4768515,-0.81010216,3.0872188,1.1745201,8.372944
9.344348,0.58009696,5.8010364,-1.0018758,3.4504097,1.1622773,8.481264
7.243106,-0.12520456,4.3237367,-1.6385678,2.9021392,1.0548358,8.221019
8.403847,0.19372433,5.5115123,-1.4436126,2.8328567,1.1307391,8.071106
8.851051,0.5335687,6.1455717,-1.1627853,2.7823431,1.1940442,8.201798
8.855378,0.44079477,6.133039,-1.2162204,2.84264,1.1796353,7.8149514
9.329869,0.19922706,6.273519,-1.3791428,3.1120634,1.0998933,7.467265
10.15258,-0.018317346,6.8260074,-1.5287721,3.3897128,0.984368,7.418801
10.70045,-0.20885468,7.255646,-1.6628515,3.5326731,0.89005387,7.5447664
10.656699,-0.43020183,7.2487264,-1.8298126,3.5235283,0.836554,7.6749964
10.055032,-0.6722956,6.8745036,-2.0172763,3.347607,0.80806607,7.7651978
9.632039,-0.59416145,6.847578,-1.8852404,2.9313252,0.77033305,7.890599
10.352693,0.19463104,8.0719185,-1.0574018,2.420704,0.71675366,8.107508
12.108343,1.2172297,9.601686,-0.16256769,2.5406415,0.78555655,8.353613
