HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
18.615713,3.8459067,13.813995,1.9441403,5.0852866,0.6498548,2.9131906
17.831673,4.126364,13.587163,2.3482537,4.400317,0.58553123,2.9709463
17.899534,4.2611313,13.833438,2.638374,4.0580254,0.55569917,2.2940938
16.120909,4.5319166,12.423864,2.914438,3.5348668,0.48202488,3.1036909
15.397165,4.3086214,11.765923,2.767865,3.0864806,0.47587797,2.7062092
14.472603,3.9466212,11.051418,2.4663577,2.804473,0.46335906,2.413643
13.841111,3.485134,10.451455,1.9580295,2.763766,0.5355853,2.2758815
16.139875,3.348294,12.5313425,2.123195,3.1577435,0.5426637,2.1091921
15.156132,3.1706362,11.581735,1.7851825,3.3656905,0.61595076,2.472525
15.726588,3.2536447,11.823948,1.7902031,3.7256572,0.6712201,2.2131078
14.376924,3.3067584,10.205142,1.8215066,4.165216,0.7514545,1.6140695
11.224953,3.316927,6.934249,1.9169898,4.5116997,0.7959601,2.0068676
6.338998,3.1274786,2.0576823,1.914741,4.3079605,0.82745236,2.083462
-0.39105436,3.0193262,-4.340787,1.8866907,4.218363,0.85229886,1.9463704
-3.61763,3.2445908,-7.5901012,1.8909,4.0884542,0.8939372,2.8910036
-7.502941,3.1758442,-11.489427,1.7957075,4.005517,0.8749304,2.5276446
-7.682848,3.0289152,-11.440737,1.7573028,3.8480432,0.85748297,3.0774214
-3.1007931,2.6830728,-7.05957,1.237302,3.9236684,0.93650985,4.0546002
0.38811803,2.4861522,-3.5880675,1.1345961,3.9692538,0.8606799,4.1352377
4.7508264,2.4567227,0.6031757,1.0041989,4.3576093,0.90477955,3.9290886
11.120218,2.4651995,6.512401,0.86522937,4.6823564,0.87974197,3.8028696
14.680578,2.8594568,10.133984,1.1015389,4.7725806,0.82551867,3.5481582
17.032223,3.1620388,12.07285,1.336819,5.250942,0.8445407,2.796627
17.685194,3.5785372,12.805769,1.6376712,5.2736773,0.82618403,3.1467464
17.547388,3.8682926,12.923341,1.9617333,4.838149,0.73024553,3.3070955
17.585264,4.423516,13.257646,2.5147972,4.591255,0.67432266,2.8849247
16.188444,4.581929,12.171307,2.8000176,3.9236777,0.6066368,2.8667233
16.623766,4.2573466,13.0686655,2.7608702,3.3875277,0.5631406,3.1369057
14.500221,4.1208463,10.86308,2.5737953,3.0958548,0.5497444,2.8961265
13.861663,3.796068,10.518376,2.444771,2.6342916,0.5026974,2.593538
16.29996,3.7122483,12.818375,2.2184713,2.8327985,0.5233245,2.5332491
