HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
16.399761,2.325523,11.72834,0.9707859,4.707691,0.5474073,5.07574
14.338377,2.206329,10.068183,0.91928655,4.3802357,0.539668,5.0644116
12.493481,1.7783827,8.757468,0.67193985,3.8175297,0.4974181,5.001053
11.01112,1.486257,7.837183,0.4932115,3.2452865,0.49049652,5.1610723
10.173507,1.2458433,7.237676,0.35640898,2.818861,0.47358724,4.5121174
8.4929905,0.96303016,5.947195,0.17223148,2.4570642,0.44822398,3.8626192
8.597039,0.83555865,6.176234,0.11952683,2.2571151,0.44038406,3.7335334
7.7445116,0.738354,5.3977823,0.03917106,2.2512758,0.42884794,3.5031695
9.109921,0.803102,6.686263,0.06074443,2.4265056,0.45777172,3.4306223
10.122839,0.861098,7.3268185,0.07379212,2.7574737,0.47564775,3.138576
10.75501,1.0182095,7.391945,0.15923972,3.3130007,0.48428378,3.078411
10.685561,1.3756233,6.7494144,0.36559504,3.8831518,0.5322076,3.3341374
6.627006,1.3278121,2.8110144,0.3733976,3.6655564,0.52991796,3.7553158
3.662304,1.2867372,0.16046053,0.3576384,3.430841,0.55106604,3.9890852
1.2094667,1.427165,-2.472769,0.45976108,3.4053195,0.5443198,4.273211
0.30276492,1.4614635,-3.3478498,0.4900352,3.3548193,0.5495617,4.41909
0.28294763,1.3241355,-3.140317,0.39189163,3.347432,0.5604308,5.3251886
2.7821445,1.3466579,-0.75046873,0.34510177,3.4804509,0.5603792,5.1665807
4.9949393,1.2620076,1.3955071,0.29139954,3.4979084,0.54438156,5.2349806
8.025407,1.4746971,4.335904,0.42360237,3.7811053,0.54182976,5.1893625
12.136406,1.6709783,7.8405375,0.5114154,4.1823926,0.54395807,4.8439126
14.674619,1.8931253,10.1344385,0.6570704,4.39828,0.5498772,4.8473077
15.975813,2.0476005,11.317405,0.74281657,4.6486278,0.55257815,5.1112843
17.684412,2.2198606,12.790849,0.86065143,4.794607,0.56301725,4.808751
17.322239,2.2645369,12.561627,0.90045005,4.724981,0.5478647,4.781206
16.284822,2.058879,11.876155,0.825438,4.3318496,0.53755707,4.995857
13.942441,1.7292534,10.145041,0.6365675,3.8147283,0.52062714,5.148934
11.724096,1.2500329,8.5491495,0.3594831,3.055267,0.48547444,4.977053
9.659944,1.077733,6.98795,0.2562827,2.706142,0.4638506,4.922914
9.693704,0.9364782,7.1419725,0.17293611,2.5086536,0.45574242,4.1182528
8.546594,0.7692645,6.2343884,0.055714976,2.090593,0.44215262,3.9176016
10.282304,0.8168604,7.77212,0.07487101,2.3486028,0.45300764,3.9804192
10.702119,0.876508,8.068553,0.11127198,2.5200546,0.46506584,3.764207
10.761883,0.9945863,7.734514,0.17765611,2.8892264,0.46992445,3.665598
11.004713,1.224369,7.3634377,0.28313342,3.4888499,0.49550122,3.4510486
10.875873,1.2682947,6.803174,0.3069346,3.7921634,0.51493067,3.495936
6.2055197,1.3141378,2.3171234,0.347864,3.6978,0.53460884,3.8953571
2.6489863,1.3520476,-1.0979135,0.3906055,3.5877993,0.5445936,4.6010704
-0.27852854,1.4675875,-4.126537,0.48664278,3.5189548,0.5502953,4.7746077
-0.22022434,1.3484832,-3.7782652,0.42897952,3.3923235,0.5617539,5.5534964
-1.1547035,1.2565385,-4.629234,0.35117793,3.263945,0.5460662,5.4111075
1.1011009,1.2686985,-2.330888,0.3355761,3.3250072,0.5485923,5.085579
4.1437244,1.2174877,0.7215979,0.2999526,3.406608,0.5364779,5.814083
5.731483,1.2307452,2.2669756,0.30576998,3.498826,0.53044254,5.2542276
10.900623,1.4478815,7.0058193,0.41735965,3.8803616,0.53654337,5.068216
14.174752,1.7185081,9.882142,0.5606661,4.239292,0.54028696,5.1035357
16.227177,1.98849,11.621408,0.7265101,4.513606,0.5419207,5.165237
15.966351,1.9795182,11.25246,0.71679324,4.5472126,0.5470852,4.981053
17.15195,2.1885521,12.30976,0.8937377,4.6935287,0.54864764,4.999908
16.05687,1.8358039,11.894929,0.6800889,4.1528664,0.52712023,5.461764
12.488042,1.6882035,8.858045,0.62353265,3.5488913,0.50669193,5.097916
11.289998,1.2132887,8.1961155,0.34757346,2.9321942,0.49015176,5.174721
11.095307,0.9777099,8.095745,0.16294521,2.643801,0.47258943,4.727681
8.950898,0.8375728,6.4293284,0.10167988,2.3120599,0.45826668,4.3647723
8.288476,0.82797575,5.8777184,0.1212001,2.2067008,0.4464387,3.7696254
8.093929,0.8506669,5.889183,0.10086618,2.1531675,0.4606693,3.7520258
9.029626,0.8467267,6.4861927,0.09367573,2.357337,0.4764307,3.5726252
11.456243,0.98506415,8.489615,0.14218715,2.8428488,0.48725772,3.6067395
11.062713,1.2221351,7.4335747,0.29643622,3.4089208,0.502372,3.2718914
10.527443,1.3295107,6.5802636,0.34801087,3.7676706,0.5274176,3.6635163
6.518047,1.314807,2.5814881,0.35802752,3.7048,0.53833675,3.8545861
2.7092223,1.3076425,-1.0171647,0.36697617,3.5362244,0.550438,4.1603465
1.588653,1.4662452,-2.2141373,0.48834744,3.4803674,0.5488339,4.4011765
-1.7711105,1.2584769,-5.3284907,0.37673244,3.2364116,0.55166817,4.9752893
-0.6063765,1.2361926,-3.9853354,0.3495429,3.2222755,0.5584729,5.33144
2.1797957,1.3814969,-1.2802577,0.41446987,3.3865705,0.5525055,5.017182
4.182379,1.3068581,0.72235924,0.34147033,3.4791555,0.544654,4.997837
8.512055,1.396443,4.8121767,0.39229888,3.6324315,0.54792863,5.2659736
12.153949,1.5045675,8.131941,0.43761545,4.0393095,0.5395202,5.239819
13.716582,1.6602888,9.311465,0.52379465,4.1825404,0.54346746,4.7081523
15.097686,2.001405,10.546534,0.72812825,4.5057597,0.55526656,4.8321505
16.02232,2.1878312,11.331331,0.87500334,4.594832,0.5552974,4.845463
15.8871975,2.2402112,11.208442,0.91035444,4.616472,0.56839275,4.6684475
14.703343,2.0790668,10.336373,0.8381537,4.2238636,0.53633446,4.99658
13.698924,1.5629243,10.168568,0.5508382,3.510242,0.51201034,5.1263323
11.6275215,1.2530141,8.264311,0.3502463,3.09288,0.4813883,5.150836
9.971883,1.1255478,7.112381,0.27906734,2.6254401,0.468203,4.8062506
9.055401,0.94660264,6.4940214,0.17290473,2.3409917,0.44805586,4.184832
