HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
15.921127,2.359709,12.0657425,0.81759,4.228008,0.9582531,7.0427837
15.035722,2.0893192,10.927089,0.59776205,4.1021767,0.86839724,6.965038
13.695091,1.9252886,9.742409,0.4620219,3.8105063,0.8884274,6.8788424
12.396762,1.903646,8.832167,0.40681905,3.5648158,0.89230436,6.716294
11.993244,2.0277562,8.53664,0.4956872,3.441742,0.9111721,6.6358457
11.768089,2.1510053,8.422134,0.5922996,3.3417096,0.95222753,6.633762
11.54328,2.0636673,8.178956,0.5000124,3.3101957,0.99855053,6.550663
11.303198,2.3565342,7.825519,0.8215579,3.564899,1.053906,6.3789268
10.640515,2.301329,6.8020053,0.82388145,3.836331,1.0803157,6.3637652
9.725774,2.4177577,5.767306,0.85629964,4.0368524,1.0996313,6.441237
9.0243435,2.3434532,4.775869,0.8235297,4.2121496,1.0483435,6.744325
4.6580586,1.8882865,0.65622115,0.6612117,3.8875587,0.95986277,7.0594354
-0.9139881,1.9396425,-4.7246656,0.8814904,3.656702,0.8771727,7.537357
-5.730164,2.090167,-9.37637,1.0698185,3.4297512,0.7857625,8.100953
-8.672611,2.5119312,-12.225454,1.5522381,3.3952737,0.7043028,8.490883
-10.372014,2.6871276,-13.711968,1.5964754,3.0263379,0.6906072,9.140269
-10.511869,2.8786182,-13.6152115,1.8893516,2.8927634,0.6890389,9.966001
-9.511892,2.6933887,-12.563158,1.6970283,2.6480265,0.7350757,10.644733
-7.918248,1.9772953,-10.840795,1.0938969,2.5282698,0.753473,11.064231
-2.8137906,0.9569899,-5.613966,0.059933152,2.6780677,0.7427173,11.05105
3.3909795,0.24685618,0.4208174,-0.7146294,3.0202577,0.6898322,10.900619
7.687234,-0.27743775,4.4849696,-1.1105447,3.347919,0.5883519,10.503523
8.190996,-0.48222974,5.0291066,-1.2672538,3.314281,0.4702189,10.2114105
8.683757,-0.569282,5.556984,-1.2415495,3.2560482,0.3580435,9.923464
8.875709,-0.51607925,5.8941402,-1.2771951,2.9788344,0.36048588,9.5767975
9.205936,0.16216289,6.7734537,-0.70514077,2.532994,0.40539327,9.24708
9.745753,0.7015806,7.254974,-0.19021562,2.5278163,0.46301863,9.016171
9.669218,1.1372977,7.1439567,0.06883148,2.5456305,0.60602784,8.886115
9.463731,1.349194,7.0198326,0.21938513,2.46643,0.69035614,8.827129
9.736162,1.7033374,7.0037556,0.42234924,2.6339548,0.7906742,8.866313
9.722909,2.1251984,6.878109,0.79197955,2.7690845,0.8857894,8.885715
10.403575,2.445911,7.268582,0.9669082,3.1410236,0.96608156,8.719209
10.242076,2.5898557,6.775293,1.114682,3.4493165,1.0514793,8.570977
9.687171,2.709986,5.9189177,1.1937746,3.6881058,1.1253395,8.469758
5.026084,2.4875636,1.7200156,1.0307337,3.546862,1.147507,8.827541
-1.6248032,2.3205771,-5.1947494,1.058195,3.3966873,1.1383803,9.179482
-7.1760125,2.629196,-10.6720915,1.3186344,3.4251087,1.044059,9.445332
-11.498293,2.68449,-14.979249,1.4314603,3.2484162,0.9958093,9.902304
-13.916245,2.7088478,-17.213919,1.4962968,2.9849994,0.8606346,10.442374
-14.835343,2.7693152,-17.88557,1.5809629,2.7645953,0.7940482,10.922525
-13.280442,2.6997764,-16.008936,1.4940368,2.6091022,0.82356197,11.890021
-11.282982,2.3985522,-13.98968,1.1372948,2.4884245,0.8605954,12.63597
-8.469857,1.768677,-11.019569,0.556666,2.3503766,0.8776629,13.123815
-4.093388,0.71793234,-6.870241,-0.24225788,2.391332,0.8436995,13.128444
2.832103,0.13500911,-0.18921664,-0.91082567,2.9434261,0.79140913,12.9942255
8.537404,-0.19707502,5.07683,-1.2350206,3.4251134,0.6955841,12.679622
8.366564,-0.31257552,5.2139363,-1.3466703,3.2433562,0.6131898,12.270695
8.4145155,-0.46136576,5.351338,-1.3455037,3.0857472,0.55154204,11.928616
8.115095,-0.3409174,5.4488363,-1.19467,2.8436944,0.5387009,11.5233
8.414872,0.16290607,6.034702,-0.77193576,2.3864355,0.55106765,11.303804
9.644392,0.90763825,7.1379595,-0.1242331,2.4042187,0.65584546,10.80685
10.26132,1.253623,7.743751,-0.0031120963,2.4893713,0.76310027,10.586463
10.524704,1.3133141,7.937832,-0.044957817,2.4500787,0.8394,10.370845
10.313381,1.3385329,7.8813405,-0.030745927,2.3671112,0.8599151,10.234658
10.183335,1.445242,7.7768803,0.037243463,2.3049035,0.8642962,10.149996
10.710132,1.7132833,7.933123,0.2005937,2.6002622,0.91513467,10.104404
10.708466,2.0459359,7.746733,0.49453586,3.035878,1.0308348,10.104025
10.582614,2.3864703,7.187531,0.81698436,3.421814,1.1191477,10.094201
7.001969,2.656406,3.5729063,1.1545715,3.4379551,1.2181122,10.426256
-0.57384723,2.483412,-4.0689044,1.0201203,3.3228397,1.207917,10.712779
-6.0182137,2.5787678,-9.614014,1.1455122,3.3391645,1.1490548,11.130828
-10.785259,2.928567,-14.184944,1.3926139,3.2297227,1.0846281,11.684547
-13.17208,2.842989,-16.356041,1.3974243,2.8762677,0.9965647,12.044931
-13.871161,2.8954256,-16.806225,1.4689916,2.6233609,0.9807285,12.833659
-12.91107,3.094239,-15.720061,1.641091,2.4893837,0.99377,13.81108
-10.7146635,3.165055,-13.35815,1.7888905,2.5039647,1.0046321,14.888634
-8.494578,2.4539738,-11.218353,1.1364754,2.4007194,1.0103868,15.358705
-4.0037293,1.285044,-6.499078,0.06999447,2.4062464,0.96320814,15.476462
2.4308336,0.41918847,-0.3676605,-0.6615461,2.7890532,0.8902239,15.264513
7.6398416,-0.1127163,4.4791293,-1.0990084,3.1699324,0.77698845,14.782467
7.5794716,-0.34808242,4.6268525,-1.3682566,2.986886,0.6686657,14.271152
7.548781,-0.49364245,4.736977,-1.4812591,2.8324673,0.6293188,13.736793
7.319889,-0.47542545,4.9149055,-1.4393023,2.4857507,0.61665225,13.362534
7.842012,-0.021142494,5.6076727,-1.0258785,2.194464,0.6619157,12.819055
9.269432,0.7676895,6.773086,-0.35183784,2.3694086,0.7676061,12.315806
9.889001,1.1801257,7.277493,-0.086783014,2.5013072,0.85984665,11.915733
10.0636425,1.5106982,7.573614,0.11267844,2.4580224,0.88276803,11.655762
9.724097,1.4307436,7.329433,0.0016964292,2.3032749,0.8789271,11.329234
9.646298,1.4865109,7.3629413,0.13318017,2.2389073,0.87769,11.061299
10.135079,1.580113,7.6596665,0.19790472,2.4045267,0.8807005,10.928369
11.013314,1.6931859,8.072678,0.16010533,2.8715055,0.9424669,10.66345
11.466136,1.8940378,8.132339,0.28596082,3.3257306,1.0306599,10.422427
6.7459226,2.119178,3.5637326,0.6376653,3.139895,1.1803477,10.7309675
0.3356373,1.787525,-2.7799249,0.4204941,3.0169208,1.1726882,10.929276
-5.289113,2.2951212,-8.656954,0.95000976,3.1666276,1.1395264,11.287823
-9.742643,2.721141,-13.069677,1.3335948,3.1805692,1.0898602,11.7472515
-12.412888,2.775649,-15.560989,1.3972175,2.974614,0.95994854,12.031393
-13.318111,2.71542,-16.421858,1.4951692,2.8752217,0.8186264,12.556775
-12.586453,2.829235,-15.508327,1.4820261,2.6540828,0.8930407,13.386163
-10.776564,2.6415744,-13.541947,1.2360802,2.5325394,0.9415531,14.318267
-7.6126857,1.6597552,-10.124693,0.4346617,2.3800523,0.94243795,14.653595
-3.7556136,0.6635521,-6.1660986,-0.46228427,2.2868292,0.9160906,14.734288
2.857264,-0.046914052,0.017134348,-1.1139028,2.8071418,0.8813853,14.6008005
7.553366,-0.48804843,4.51766,-1.5632161,3.206008,0.76242405,14.134948
7.5720153,-0.7105385,4.6498895,-1.771528,2.989241,0.64872444,13.69238
7.853602,-0.73306215,5.0314984,-1.7141855,2.9302185,0.5936071,13.179552
7.5437465,-0.8189254,5.0000587,-1.7428901,2.611737,0.5945955,12.697831
7.488893,-0.57730454,5.3252416,-1.521908,2.1615922,0.6212285,12.190555
8.562318,0.22592305,6.439507,-0.87691283,2.043621,0.67809784,11.60751
9.85096,0.8189428,7.3945146,-0.4549079,2.2554364,0.7935788,11.198682
10.058632,1.0390738,7.7083664,-0.3233533,2.2382314,0.84633595,10.966238
10.028413,1.0971819,7.8068814,-0.30329263,2.1748075,0.8459018,10.730676
9.913739,1.0463762,7.6749916,-0.32198387,2.0902886,0.82504845,10.508573
10.201652,1.0151547,7.79727,-0.34768727,2.2393658,0.83507204,10.324665
11.1565075,1.2185065,8.175171,-0.26889572,2.7528152,0.91436565,10.12587
11.684961,1.5238942,8.293935,-0.10623241,3.287574,1.0064666,10.014409
9.485029,1.7765684,5.9325585,0.17546171,3.5358732,1.1538955,10.061538
3.6287637,1.5660924,0.3862362,0.15659422,3.2419126,1.1853663,10.390548
-2.1187875,1.7973677,-5.602136,0.458254,3.1865199,1.1506712,10.657196
-6.852575,2.1743875,-10.079163,0.78665674,3.1592326,1.05706,10.850887
-9.555191,2.3792741,-12.885268,1.0249203,3.0467505,0.96497446,11.300065
-11.299339,2.2485805,-14.384402,0.9582505,2.7574577,0.9080107,11.826515
-10.308891,2.40893,-13.303862,1.0861841,2.5338223,0.9652775,12.47458
-8.828827,2.392728,-11.568518,0.96849775,2.4302607,1.0189658,13.303695
-6.2367144,1.8881553,-8.735154,0.56408024,2.3272297,1.0296793,13.846613
-2.118772,0.65081877,-4.532785,-0.44952834,2.312266,0.9755088,13.856723
3.412259,0.05133287,0.89068544,-0.9828477,2.6184225,0.8838451,13.747467
7.0682607,-0.4609022,4.09507,-1.5308671,3.0122166,0.7752294,13.1915045
7.5822387,-0.81010205,4.677204,-1.9145427,3.017134,0.698215,12.695073
7.5758867,-1.0267943,4.8276796,-2.1092958,2.787779,0.67544997,12.129789
7.433534,-1.0202587,4.9817863,-2.078414,2.4176917,0.66707444,11.806538
7.417854,-0.8892018,5.517966,-1.9194108,1.9205601,0.66712713,11.477928
9.071184,0.3122259,7.0480633,-0.8145646,1.8980298,0.686096,11.121344
10.410477,0.8507777,8.117871,-0.44960397,2.1648664,0.79754555,10.673674
11.007785,1.1539987,8.628001,-0.20038679,2.2449622,0.8519645,10.379692
10.564653,1.0643988,8.403708,-0.24413437,2.099826,0.8292686,10.220957
10.5026,0.96589565,8.17801,-0.3596899,2.1058748,0.82733995,9.988455
11.070068,1.0952077,8.443373,-0.3916618,2.4947438,0.8839883,9.693921
11.824284,1.1158346,8.846257,-0.45658398,2.8621259,0.91028357,9.434829
12.36464,1.3941683,8.853441,-0.28285125,3.352057,1.0183225,9.181626
9.998747,1.5576758,6.422493,-0.07670117,3.554559,1.1566728,9.233042
3.6047633,0.9698451,0.20061004,-0.51851046,3.1824942,1.2175528,9.539465
-1.8554101,1.1829246,-5.2581935,-0.21469004,3.11887,1.1681556,9.739156
-6.140897,1.7624573,-9.486591,0.34087637,3.204417,1.1309836,10.103861
-8.628903,1.8898215,-11.708182,0.53284955,2.979014,0.9991524,10.649234
-10.197567,1.9211663,-13.013986,0.63630307,2.6558244,0.9467783,11.189015
-8.999026,2.296463,-11.834359,0.96167433,2.5847585,1.0187821,12.006212
-7.2873006,2.355469,-10.090314,0.9631488,2.534566,1.0653212,12.877367
-5.5805016,1.9509352,-8.141746,0.61881346,2.4365318,1.0561206,13.482995
-0.81752324,0.77692497,-3.342402,-0.39519748,2.5639145,0.99101436,13.489759
4.563893,0.10187799,1.6357388,-0.96995014,2.8683593,0.9008131,13.241959
7.052887,-0.4081936,4.193789,-1.5030143,3.0188913,0.77587444,12.809753
7.311386,-0.8042568,4.450468,-1.921643,2.8878477,0.7506152,12.242912
7.340622,-1.0696752,4.6659737,-2.1550205,2.7439284,0.70512223,11.822621
7.095557,-1.1752723,4.7278247,-2.1791039,2.4017313,0.6929027,11.396784
