HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
15.636564,1.7884805,11.579369,0.3953416,4.656368,0.76431805,7.1022663
14.750543,1.8483347,10.340187,0.38714266,4.3405657,0.7728081,7.2707276
13.749583,1.7863923,9.50697,0.39624503,4.1976924,0.75982076,7.1456265
12.91684,1.7520514,8.850782,0.4047546,4.0615945,0.7466713,7.0185537
12.236671,1.7316961,8.221022,0.33594307,4.0011883,0.73511165,6.931035
11.207466,1.6431061,7.3419304,0.3094018,3.8548903,0.7269992,6.782448
8.9458,1.3316813,5.3217487,0.1429755,3.5373325,0.69887465,6.665659
4.972943,0.98924005,1.7528188,-0.06339191,3.180727,0.6597813,7.0605316
0.9296364,0.90761214,-1.8477715,0.05158775,2.8587692,0.58440596,7.298056
-0.43285662,1.0258996,-3.1115172,0.27166402,2.7311141,0.5472779,7.5657797
-0.52569276,1.1475809,-3.13058,0.4015433,2.6743047,0.5340471,7.8399754
0.07196595,1.1182059,-2.5990634,0.3732016,2.6505444,0.5274146,8.21755
1.3299849,0.97568554,-1.331497,0.26001754,2.6926003,0.515988,8.494122
3.1480086,0.6386256,0.57890886,-0.05418291,2.7432253,0.49408612,8.86549
5.5629587,0.010153505,2.7940376,-0.63767856,2.920015,0.419073,8.849443
7.314968,-0.64532965,4.5230737,-1.1527654,3.00585,0.31484622,8.6293955
8.508658,-0.9106898,5.6446433,-1.3647096,3.0250804,0.22006242,8.318448
9.054655,-0.80837375,6.2222185,-1.3787364,2.9912808,0.18286277,7.901815
9.6675625,-0.5071952,6.7630553,-1.0719943,2.9708185,0.18459682,7.533737
10.271851,-0.117691666,7.2148314,-0.82020736,2.9946048,0.2060814,7.2231936
10.601048,0.09394675,7.695581,-0.6085964,3.0271356,0.24612074,6.9759865
10.946856,0.3825577,7.8673716,-0.42992643,3.0736287,0.29029858,6.709684
11.072438,0.58008856,7.945267,-0.27616665,3.1141295,0.33637372,6.495683
11.084684,0.7208722,8.012153,-0.19290218,3.1785164,0.39106277,6.5008464
10.870913,0.6284006,7.812204,-0.290088,3.151812,0.42358828,6.4109364
10.606357,0.53136617,7.482626,-0.35461092,3.1491032,0.44466147,6.3105135
10.106813,0.4606683,7.142818,-0.4129032,3.100254,0.45733628,6.268162
9.70746,0.47416344,6.7620854,-0.40685642,3.0581787,0.4681742,6.227603
9.187717,0.41402078,6.158983,-0.42151418,3.017553,0.48871177,6.3489456
8.531591,0.26776272,5.580829,-0.46921876,2.9595695,0.48060584,6.3503876
7.777415,0.16219169,5.058904,-0.5454876,2.8979263,0.4653207,6.4409204
6.955343,0.27055418,4.257123,-0.37712476,2.8685381,0.4351407,6.621377
5.9248075,0.38893035,3.1149385,-0.20323795,2.831244,0.408799,6.8018765
4.6345997,0.49971917,2.1066494,-0.004248935,2.7900488,0.3613971,6.990434
4.2508345,0.6044469,1.5511553,0.13169001,2.7442818,0.33572802,7.1847177
4.4768505,0.62017065,1.8208919,0.20510161,2.7277834,0.3058758,7.3391104
5.0981755,0.44756892,2.5018568,0.08584905,2.764637,0.26594248,7.4214106
